county,County.FIPS,id,abbr,state,perc_stud_debt,perc_stud_debt_nw,perc_stud_debt_wh,med_stud_debt,med_stud_debt_nw,med_stud_debt_wh,perc_stud_debt_collect_STUD,perc_stud_debt_collect_STUD_nw,perc_stud_debt_collect_STUD_wh,med_stud_debt_collect,med_stud_debt_collect_nw,med_stud_debt_collect_wh,med_mon_pmt,med_mon_pmt_nw,med_mon_pmt_wh,perc_no_bach,perc_no_bach_nw,perc_no_bach_wh,perc_pop_nw,avg_income,avg_income_nw,avg_income_wh
Clinton County,18023,18023,IN,Indiana,.1326531,NULL,.1329243,15425,NULL,15425,.1230769,n/a**,.1230769,NULL,NULL,NULL,NULL,NULL,NULL,.8335534,.9447853,.817957,.174298,64032,49653,65780
Crawford County,18025,18025,IN,Indiana,.0944444,NULL,.0898876,NULL,NULL,NULL,.0588235,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.8855841,.9484536,.8839065,.037142,51724,35806,52301
Daviess County,18027,18027,IN,Indiana,.1183879,NULL,.1183879,NULL,NULL,NULL,.1489362,n/a**,.1489362,NULL,NULL,NULL,NULL,NULL,NULL,.862326,.8929856,.860558,.0803959,63729,41937,64889
Dearborn County,18029,18029,IN,Indiana,.1510612,NULL,.1510612,15575,NULL,15575,.0909091,n/a**,.0909091,NULL,NULL,NULL,141,NULL,141,.7841112,.8592592,.7819741,.0374336,78072,65515,78354
Decatur County,18031,18031,IN,Indiana,.1161616,NULL,.1161616,NULL,NULL,NULL,.1304348,n/a**,.1304348,NULL,NULL,NULL,NULL,NULL,NULL,.803764,.6604027,.8100264,.050806,66565,60955,66796
DeKalb County,18033,18033,IN,Indiana,.1585714,NULL,.1585714,17503,NULL,17503,.0990991,n/a**,.0990991,NULL,NULL,NULL,128,NULL,128,.8229577,.7882883,.8243523,.0492928,67411,86365,66793
Delaware County,18035,18035,IN,Indiana,.1770708,NULL,.1778584,21479,NULL,21560,.1694915,n/a**,.170068,16096,NULL,16096,148,NULL,149,.7497492,.7663389,.7479521,.132541,55830,44625,57065
Dubois County,18037,18037,IN,Indiana,.1399417,NULL,.1413844,12997,NULL,12997,.0520833,n/a**,.0520833,NULL,NULL,NULL,132,NULL,132,.7775785,.9060807,.7696071,.0919657,72652,43522,74658
Elkhart County,18039,18039,IN,Indiana,.1382247,NULL,.1387245,16334,NULL,16334,.1421801,n/a**,.1421801,11218,NULL,11218,135,NULL,135,.7996569,.9084842,.7732877,.255035,71886,58112,75268
Fayette County,18041,18041,IN,Indiana,.1464088,NULL,.1464088,15103,NULL,15103,.1698113,n/a**,.1698113,NULL,NULL,NULL,NULL,NULL,NULL,.8835322,.8892733,.8833206,.0432951,55679,36996,56469
Floyd County,18043,18043,IN,Indiana,.1599354,NULL,.1595142,21126,NULL,21317,.1161616,n/a**,.1167513,NULL,NULL,NULL,150,NULL,150,.6987224,.8404993,.6840366,.1229606,85837,81134,86324
Fountain County,18045,18045,IN,Indiana,.1409396,NULL,.1409396,NULL,NULL,NULL,.1190476,n/a**,.1190476,NULL,NULL,NULL,NULL,NULL,NULL,.8501301,.8069414,.8519288,.0457358,64848,49543,65413
Franklin County,18047,18047,IN,Indiana,.1690544,NULL,.1690544,16450,NULL,16450,.0847458,n/a**,.0847458,NULL,NULL,NULL,NULL,NULL,NULL,.8022196,.67,.8030733,.0060415,72076,21090,72199
Fulton County,18049,18049,IN,Indiana,.1392405,NULL,.1410256,NULL,NULL,NULL,.1363636,n/a**,.1363636,NULL,NULL,NULL,NULL,NULL,NULL,.8558889,.8803047,.8541602,.0797051,61620,45900,62538
Gibson County,18051,18051,IN,Indiana,.1212121,NULL,.1212121,18757,NULL,18757,.1166667,n/a**,.1166667,NULL,NULL,NULL,NULL,NULL,NULL,.8255183,.9128151,.8217252,.0593523,68625,45732,69510
Grant County,18053,18053,IN,Indiana,.1460784,NULL,.1460784,14568,NULL,14568,.1744966,n/a**,.1744966,NULL,NULL,NULL,126,NULL,126,.8508871,.9170532,.8412731,n/a**,54737,48203,55797
Greene County,18055,18055,IN,Indiana,.1273101,NULL,.1278351,14083,NULL,14083,.1451613,n/a**,.1451613,NULL,NULL,NULL,NULL,NULL,NULL,.8522369,.7333333,.8557814,.0328224,59091,49191,59271
Hamilton County,18057,18057,IN,Indiana,.2018011,NULL,.2022195,21186,NULL,21151,.0720081,n/a*,.0721545,10196,NULL,10196,195,NULL,195,.4119691,.3947535,.415085,.1691983,132032,113813,134706
Hancock County,18059,18059,IN,Indiana,.1980348,NULL,.195669,21296,NULL,20931,.0687023,n/a*,.0671937,NULL,NULL,NULL,167,NULL,165,.6856987,.5648556,.6957468,n/a**,82281,57869,85072
Harrison County,18061,18061,IN,Indiana,.1390135,NULL,.1390135,13289,NULL,13289,.0860215,n/a**,.0860215,NULL,NULL,NULL,104,NULL,104,.8261307,.7885264,.8273723,.0459307,69995,53666,70486
Hendricks County,18063,18063,IN,Indiana,.2110553,NULL,.2131083,22651,NULL,22670,.0494506,n/a**,.0497238,NULL,NULL,NULL,179,NULL,179,.6177319,.6993386,.6026762,.171877,98463,95276,98984
Henry County,18065,18065,IN,Indiana,.1424837,NULL,.1419185,18378,NULL,18537,.1376147,n/a**,.1388889,NULL,NULL,NULL,147,NULL,147,.8336771,.8992693,.8298115,.0634862,60311,54980,60459
Howard County,18067,18067,IN,Indiana,.1688924,NULL,.1706731,17330,NULL,17330,.1395349,n/a**,.1408451,NULL,NULL,NULL,146,NULL,147,.7748762,.8465697,.7646007,.1517374,69523,68162,69691
Huntington County,18069,18069,IN,Indiana,.164076,NULL,.164076,20092,NULL,20092,.1473684,n/a**,.1473684,NULL,NULL,NULL,157,NULL,157,.8101759,.8386793,.8089086,.0502227,62159,52276,62531
Jackson County,18071,18071,IN,Indiana,.130814,NULL,.1310044,14885,NULL,14885,.1666667,n/a**,.1666667,NULL,NULL,NULL,137,NULL,137,.8446712,.7975693,.8492393,.1125222,62635,58408,63036
Jasper County,18073,18073,IN,Indiana,.156,NULL,.156,13709,NULL,13709,.0897436,n/a**,.0897436,NULL,NULL,NULL,122,NULL,122,.8514063,.8785667,.8494438,.0835899,69206,56191,70093
Jay County,18075,18075,IN,Indiana,.1328671,NULL,.1328671,NULL,NULL,NULL,.131579,n/a**,.131579,NULL,NULL,NULL,NULL,NULL,NULL,.8940647,.9350105,.8925968,.049969,57482,36674,58223
Jefferson County,18077,18077,IN,Indiana,.1445087,NULL,.1445087,15117,NULL,15117,.1466667,n/a**,.1466667,NULL,NULL,NULL,139,NULL,139,.8206448,.7929249,.8221756,.0716878,64847,51506,65540
Jennings County,18079,18079,IN,Indiana,.137931,NULL,.1382488,12405,NULL,12405,.1,n/a**,.1,NULL,NULL,NULL,NULL,NULL,NULL,.8892376,.8659371,.8901805,.0478595,59467,63104,59356
Johnson County,18081,18081,IN,Indiana,.1979495,NULL,.1979495,18319,NULL,18319,.0816733,n/a**,.0816733,NULL,NULL,NULL,160,NULL,160,.6879035,.633471,.6930794,.1160506,83327,71941,84490
Knox County,18083,18083,IN,Indiana,.1150443,NULL,.1152482,14782,NULL,14782,.2,n/a**,.2,NULL,NULL,NULL,NULL,NULL,NULL,.8361076,.8514377,.8352845,.071694,60335,52174,60736
Kosciusko County,18085,18085,IN,Indiana,.1304688,NULL,.1308117,18340,NULL,18214,.1017964,n/a**,.1024096,NULL,NULL,NULL,167,NULL,169,.78214,.7362965,.7876375,.1350953,72722,58884,74209
LaGrange County,18087,18087,IN,Indiana,.0915033,NULL,.0919037,NULL,NULL,NULL,.1904762,n/a**,.1904762,NULL,NULL,NULL,NULL,NULL,NULL,.8962004,.8922764,.8963801,.0571619,74193,40545,75658
Lake County,18089,18089,IN,Indiana,.1851288,.2092476,.1751305,20893,20100,21719,.1357094,.1928839,.0799458,14473,17005,13203,153,140,163,.7729672,.8273745,.7350972,.4611126,71527,55141,83349
LaPorte County,18091,18091,IN,Indiana,.1546682,NULL,.1542857,18545,NULL,18640,.1345454,n/a**,.1296296,NULL,NULL,NULL,128,NULL,131,.8068264,.8910242,.7887763,.2115047,68665,62993,69662
Lawrence County,18093,18093,IN,Indiana,.1462729,NULL,.1462729,17349,NULL,17349,.0961538,n/a**,.0961538,NULL,NULL,NULL,126,NULL,126,.8445647,.8153565,.8455939,.04257,61922,45926,62373
Madison County,18095,18095,IN,Indiana,.164557,NULL,.1651197,16490,NULL,16490,.1449704,n/a**,.1449704,NULL,NULL,NULL,149,NULL,149,.8097778,.8914424,.7982446,.1528914,60840,36385,64122
Marion County,18097,18097,IN,Indiana,.2100013,.2066942,.2039716,22118,22380,22768,.1406102,.1934806,.1050935,10855,11526,10645,169,160,173,.687502,.7893181,.6217774,.4560738,67400,48159,80550
Marshall County,18099,18099,IN,Indiana,.1515994,NULL,.150838,18118,NULL,18028,.1284404,n/a**,.1296296,NULL,NULL,NULL,135,NULL,135,.7954294,.8693612,.7881105,.1240262,67514,55184,68657
Martin County,18101,18101,IN,Indiana,.1304348,NULL,.1304348,NULL,NULL,NULL,.0833333,n/a**,.0833333,NULL,NULL,NULL,NULL,NULL,NULL,.8655664,.884058,.8651993,.0290891,61614,68248,61567
Miami County,18103,18103,IN,Indiana,.1472275,NULL,.1472275,12293,NULL,12293,.1298701,n/a**,.1298701,NULL,NULL,NULL,91,NULL,91,.8729377,.9128755,.8688278,.109802,58130,42197,59364
Monroe County,18105,18105,IN,Indiana,.2074225,NULL,.2089552,21405,NULL,21219,.0833333,n/a**,.0837438,NULL,NULL,NULL,168,NULL,167,.5186706,.3711591,.5382247,.1659508,63352,40288,67424
Montgomery County,18107,18107,IN,Indiana,.1345515,NULL,.1345515,24116,NULL,24116,.0864198,n/a**,.0864198,NULL,NULL,NULL,149,NULL,149,.8190697,.8573273,.8166366,.0791619,64962,46212,66040
Morgan County,18109,18109,IN,Indiana,.1775934,NULL,.1775934,19876,NULL,19876,.1401869,n/a**,.1401869,NULL,NULL,NULL,159,NULL,159,.8069124,.6005155,.8120009,n/a**,79105,84136,78910
Newton County,18111,18111,IN,Indiana,.1308017,NULL,.1319149,NULL,NULL,NULL,.0322581,n/a**,.0322581,NULL,NULL,NULL,NULL,NULL,NULL,.8877705,.8215686,.8913528,.0676987,61872,53407,62171
Noble County,18113,18113,IN,Indiana,.138587,NULL,.1373802,16167,NULL,16880,.1470588,n/a**,.1395349,NULL,NULL,NULL,153,NULL,162,.8574337,.9737285,.8453025,.1278582,66935,70881,66565
Ohio County,18115,18115,IN,Indiana,.1538462,NULL,.1538462,NULL,NULL,NULL,.0625,n/a**,.0625,NULL,NULL,NULL,NULL,NULL,NULL,.8627362,.8473282,.8632097,.032954,67846,78894,67539
Orange County,18117,18117,IN,Indiana,.1291391,NULL,.1291391,NULL,NULL,NULL,.1282051,n/a**,.1282051,NULL,NULL,NULL,NULL,NULL,NULL,.8771735,.9134438,.8756552,.0463498,56989,62925,56742
Owen County,18119,18119,IN,Indiana,.1202532,NULL,.1202532,NULL,NULL,NULL,.0789474,n/a**,.0789474,NULL,NULL,NULL,NULL,NULL,NULL,.8738865,.7249545,.8795717,.0374078,58395,43869,59017
Parke County,18121,18121,IN,Indiana,.1158798,NULL,.1163793,NULL,NULL,NULL,.0740741,n/a**,.0740741,NULL,NULL,NULL,NULL,NULL,NULL,.8778397,.8922057,.8770808,.0536008,62242,51752,62568
Perry County,18123,18123,IN,Indiana,.154386,NULL,.154386,NULL,NULL,NULL,.1136364,n/a**,.1136364,NULL,NULL,NULL,NULL,NULL,NULL,.8506848,.9450704,.8454785,.0577817,62122,40104,62602
Pike County,18125,18125,IN,Indiana,.1155779,NULL,.1155779,NULL,NULL,NULL,.0869565,n/a**,.0869565,NULL,NULL,NULL,NULL,NULL,NULL,.8626757,.8969697,.8620168,.034969,63284,40576,63699
Porter County,18127,18127,IN,Indiana,.1875453,NULL,.1883636,18597,NULL,18597,.0752896,n/a**,.0752896,NULL,NULL,NULL,156,NULL,156,.7152642,.748538,.7100975,.1718457,82931,65431,85607
Posey County,18129,18129,IN,Indiana,.1356674,NULL,.1356674,11005,NULL,11005,.1451613,n/a**,.1451613,NULL,NULL,NULL,NULL,NULL,NULL,.7925422,.8059965,.7921032,.0398218,74905,61195,75309
Pulaski County,18131,18131,IN,Indiana,.1304348,NULL,.1304348,NULL,NULL,NULL,.0740741,n/a**,.0740741,NULL,NULL,NULL,NULL,NULL,NULL,.8748441,.928934,.8723152,.0551343,58594,39401,59326
Putnam County,18133,18133,IN,Indiana,.1678832,NULL,.1681901,15478,NULL,15478,.1086956,n/a**,.1086957,NULL,NULL,NULL,145,NULL,145,.8392576,.8279762,.8400779,.0816049,67930,70016,67862
Randolph County,18135,18135,IN,Indiana,.1424802,NULL,.1424802,15732,NULL,15732,.1296296,n/a**,.1296296,NULL,NULL,NULL,NULL,NULL,NULL,.8567314,.9612121,.8515181,.0657202,56003,41095,56700
Ripley County,18137,18137,IN,Indiana,.1612903,NULL,.1612903,24281,NULL,24281,.1066667,n/a**,.1066667,NULL,NULL,NULL,196,NULL,196,.8190045,.8018742,.819697,.0449956,69125,50260,69695
Rush County,18139,18139,IN,Indiana,.1111111,NULL,.1111111,NULL,NULL,NULL,.2692308,n/a**,.2692308,NULL,NULL,NULL,NULL,NULL,NULL,.8698481,.7092391,.8751457,.0417864,62316,72576,62085
St. Joseph County,18141,18141,IN,Indiana,.1818182,.1389728,.1903069,18794,NULL,18970,.125,.0652174,.1103565,9692,NULL,9320,163,NULL,164,.6826634,.7494628,.6635054,.2806504,72422,53246,78079
Scott County,18143,18143,IN,Indiana,.1280788,NULL,.1280788,12074,NULL,12074,.1153846,n/a**,.1153846,NULL,NULL,NULL,NULL,NULL,NULL,.8805186,.9804688,.8772882,.044392,57744,35355,58575
Shelby County,18145,18145,IN,Indiana,.1712707,NULL,.1712707,22710,NULL,22710,.1370968,n/a**,.1370968,NULL,NULL,NULL,142,NULL,142,.8055944,.7403164,.809733,.076308,70571,69111,70661
Spencer County,18147,18147,IN,Indiana,.1290323,NULL,.1298701,NULL,NULL,NULL,.025,n/a**,.025,NULL,NULL,NULL,NULL,NULL,NULL,.8511289,.9071567,.8490416,.050229,73254,51461,74048
Starke County,18149,18149,IN,Indiana,.158046,NULL,.158046,16394,NULL,16394,.1818182,n/a**,.1818182,NULL,NULL,NULL,NULL,NULL,NULL,.8922346,.8445513,.8941984,.0560568,59750,38036,60421
Steuben County,18151,18151,IN,Indiana,.1210428,NULL,.1210428,16477,NULL,16477,.1384615,n/a**,.1384615,NULL,NULL,NULL,NULL,NULL,NULL,.7937085,.8822314,.7899308,.0604804,69753,54009,70361
Sullivan County,18153,18153,IN,Indiana,.1331058,NULL,.1331058,NULL,NULL,NULL,.2820513,n/a**,.2820513,NULL,NULL,NULL,NULL,NULL,NULL,.8919737,.928897,.889034,.0796941,60194,52302,60415
Switzerland County,18155,18155,IN,Indiana,.1083333,NULL,.1092437,NULL,NULL,NULL,.1538462,n/a**,.1538462,NULL,NULL,NULL,NULL,NULL,NULL,.9010851,.8458647,.9032072,.0443169,59122,76684,58443
Tippecanoe County,18157,18157,IN,Indiana,.1657915,NULL,.1662249,20976,NULL,20982,.0882353,n/a**,.0865604,NULL,NULL,NULL,164,NULL,162,.6069044,.5731095,.6145816,.2481455,68166,52686,71538
Tipton County,18159,18159,IN,Indiana,.1598513,NULL,.1598513,NULL,NULL,NULL,.1627907,n/a**,.1627907,NULL,NULL,NULL,NULL,NULL,NULL,.7701055,.8229572,.7674911,.0490209,72346,60212,72850
Union County,18161,18161,IN,Indiana,.15,NULL,.15,NULL,NULL,NULL,.2222222,n/a**,.2222222,NULL,NULL,NULL,NULL,NULL,NULL,.8309775,.5494505,.8415617,.0440375,58255,23966,58831
Vanderburgh County,18163,18163,IN,Indiana,.1521968,NULL,.1534727,16354,NULL,16368,.0993072,n/a**,.0973236,NULL,NULL,NULL,138,NULL,140,.7439355,.8403857,.7294444,.1665322,69712,49717,72968
Vermillion County,18165,18165,IN,Indiana,.1008403,NULL,.0991379,NULL,NULL,NULL,.125,n/a**,.1304348,NULL,NULL,NULL,NULL,NULL,NULL,.8662113,.9014493,.8650682,.034383,58372,42987,58771
Vigo County,18167,18167,IN,Indiana,.1703659,NULL,.1706876,18252,NULL,18335,.1267606,n/a**,.1272085,NULL,NULL,NULL,157,NULL,157,.7448605,.7092533,.749438,.1488928,64806,60359,65302
Wabash County,18169,18169,IN,Indiana,.1593626,NULL,.16,17808,NULL,17808,.1125,n/a**,.1125,NULL,NULL,NULL,190,NULL,190,.8159083,.8716518,.8135089,.0550726,60374,71899,59993
Warren County,18171,18171,IN,Indiana,.1185185,NULL,.1185185,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.8113625,.845,.8101779,.0378319,72399,216168,70111
Warrick County,18173,18173,IN,Indiana,.1454545,NULL,.1458733,16079,NULL,16079,.0592105,n/a**,.0592105,NULL,NULL,NULL,161,NULL,161,.7043263,.6362001,.7091029,.0744413,91415,120256,89345
Washington County,18175,18175,IN,Indiana,.1364706,NULL,.1364706,13113,NULL,13113,.1034483,n/a**,.1034483,NULL,NULL,NULL,NULL,NULL,NULL,.8680787,.8133333,.8696164,.0319474,60019,53263,60195
Wayne County,18177,18177,IN,Indiana,.1715328,NULL,.1736695,17354,NULL,17354,.1542553,n/a**,.1505376,NULL,NULL,NULL,152,NULL,152,.8147339,.8994778,.8069067,.1206018,57827,37355,60163
Wells County,18179,18179,IN,Indiana,.1576577,NULL,.1580135,16064,NULL,16064,.0857143,n/a**,.0857143,NULL,NULL,NULL,135,NULL,135,.81908,.8631579,.817466,.0535657,68165,53605,68714
White County,18181,18181,IN,Indiana,.1526316,NULL,.1526316,18296,NULL,18296,.137931,n/a**,.137931,NULL,NULL,NULL,NULL,NULL,NULL,.8319756,.918807,.8252082,.1046372,68022,46972,69470
Whitley County,18183,18183,IN,Indiana,.1776859,NULL,.1776859,20419,NULL,20419,.0581395,n/a**,.0581395,NULL,NULL,NULL,134,NULL,134,.7913335,.7838785,.7916183,.0449048,74573,59660,75108
Adair County,19001,19001,IA,Iowa,.1779661,NULL,.1779661,NULL,NULL,NULL,.047619,n/a**,.047619,NULL,NULL,NULL,NULL,NULL,NULL,.8455221,.8613139,.8450874,.0360752,67912,66088,67951
Adams County,19003,19003,IA,Iowa,NULL,NULL,NULL,NULL,NULL,NULL,n/a*,n/a**,n/a*,NULL,NULL,NULL,NULL,NULL,NULL,.822963,.9855072,.8187001,.0222759,63550,44717,63829
Allamakee County,19005,19005,IA,Iowa,.1067416,NULL,.1067416,NULL,NULL,NULL,.1578947,n/a**,.1578947,NULL,NULL,NULL,NULL,NULL,NULL,.8150289,.8330435,.8138922,.0920749,64470,40011,65886
Appanoose County,19007,19007,IA,Iowa,.1397849,NULL,.1397849,NULL,NULL,NULL,.2692308,n/a**,.2692308,NULL,NULL,NULL,NULL,NULL,NULL,.8292027,.8370166,.828872,.0457234,61205,33397,62478
Audubon County,19009,19009,IA,Iowa,.1333333,NULL,.1369863,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.854484,.9236111,.851991,.0312223,61362,64672,61250
Benton County,19011,19011,IA,Iowa,.2154255,NULL,.2154255,14633,NULL,14633,.0864197,n/a**,.0864197,NULL,NULL,NULL,120,NULL,120,.773697,.546697,.77948,.0349645,81624,68563,81889
Black Hawk County,19013,19013,IA,Iowa,.197389,NULL,.1948941,18610,NULL,19020,.1243386,n/a**,.0830671,NULL,NULL,NULL,142,NULL,157,.7195956,.7776152,.709013,.1963779,69819,57575,72183
Boone County,19015,19015,IA,Iowa,.1995249,NULL,.1995192,15224,NULL,14774,.0119048,n/a**,.0120482,NULL,NULL,NULL,181,NULL,179,.7521118,.766323,.7516493,.0558733,74853,65136,75268
Bremer County,19017,19017,IA,Iowa,.2206304,NULL,.221902,16232,NULL,16232,.0519481,n/a**,.0519481,NULL,NULL,NULL,147,NULL,147,.6966801,.5768322,.699868,.0476152,82266,70911,82537
Buchanan County,19019,19019,IA,Iowa,.1696113,NULL,.1696113,NULL,NULL,NULL,.0833333,n/a**,.0833333,NULL,NULL,NULL,NULL,NULL,NULL,.7941134,.5916399,.7987255,.0374438,79904,76831,79956
Buena Vista County,19021,19021,IA,Iowa,.1316726,NULL,.1590909,NULL,NULL,NULL,.1081081,n/a**,.0714286,NULL,NULL,NULL,NULL,NULL,NULL,.8036973,.9396467,.739931,.3965449,71135,58184,76544
Butler County,19023,19023,IA,Iowa,.1797235,NULL,.1813954,NULL,NULL,NULL,.0769231,n/a**,.0769231,NULL,NULL,NULL,NULL,NULL,NULL,.8247789,.7205387,.8278421,.0333899,70241,124887,68547
Calhoun County,19025,19025,IA,Iowa,.1858974,NULL,.1883117,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.8047843,.8269231,.8035741,.0551125,65281,49329,65873
Carroll County,19027,19027,IA,Iowa,.164557,NULL,.1650794,15798,NULL,15798,.0576923,n/a**,.0576923,NULL,NULL,NULL,NULL,NULL,NULL,.777504,.6616541,.7786316,.0147955,71516,57658,71644
Cass County,19029,19029,IA,Iowa,.15,NULL,.15,NULL,NULL,NULL,.1,n/a**,.1,NULL,NULL,NULL,NULL,NULL,NULL,.803653,.8635236,.8009763,.0436661,60409,51859,60722
Cedar County,19031,19031,IA,Iowa,.2036364,NULL,.2022059,20901,NULL,20382,.0535714,n/a**,.0545455,NULL,NULL,NULL,NULL,NULL,NULL,.7703921,.878866,.7670504,.0434806,76049,62646,76432
Cerro Gordo County,19033,19033,IA,Iowa,.1574213,NULL,.1573374,19466,NULL,17933,.152381,n/a**,.1442308,NULL,NULL,NULL,173,NULL,173,.7734852,.8662763,.7668368,.0904988,69395,50038,70670
Cherokee County,19035,19035,IA,Iowa,.1666667,NULL,.1666667,NULL,NULL,NULL,.1481481,n/a**,.1481481,NULL,NULL,NULL,NULL,NULL,NULL,.786095,.8757225,.7821745,.0633938,71997,77327,71741
Chickasaw County,19037,19037,IA,Iowa,.1801242,NULL,.1801242,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.8305736,.9059829,.8283951,.0404992,69593,51074,70095
Clarke County,19039,19039,IA,Iowa,.1518987,NULL,.1518987,NULL,NULL,NULL,.125,n/a**,.125,NULL,NULL,NULL,NULL,NULL,NULL,.8309209,.8470097,.8288434,.1411334,64803,53016,66013
Clay County,19041,19041,IA,Iowa,.1623616,NULL,.164794,NULL,NULL,NULL,.1818182,n/a**,.1818182,NULL,NULL,NULL,NULL,NULL,NULL,.7742245,.9250937,.7668408,.0652241,61530,53588,61807
Clayton County,19043,19043,IA,Iowa,.1371237,NULL,.1371237,NULL,NULL,NULL,.097561,n/a**,.097561,NULL,NULL,NULL,NULL,NULL,NULL,.82849,.9111111,.8260657,.0400068,64985,44438,65556
Clinton County,19045,19045,IA,Iowa,.1506849,NULL,.1525659,21913,NULL,21913,.1181818,n/a**,.1181818,NULL,NULL,NULL,163,NULL,163,.8094321,.8027806,.8098518,.0862595,65667,41579,67162
Crawford County,19047,19047,IA,Iowa,.0944206,NULL,.1196581,NULL,NULL,NULL,.0454545,n/a**,.0714286,NULL,NULL,NULL,NULL,NULL,NULL,.8720888,.9841327,.8350614,.3345202,75402,76121,75207
Dallas County,19049,19049,IA,Iowa,.2411705,NULL,.2411705,21123,NULL,21123,.083682,n/a**,.083682,NULL,NULL,NULL,163,NULL,163,.52912,.4654858,.5379697,.1507319,105070,100452,105722
Davis County,19051,19051,IA,Iowa,.0915493,NULL,.0915493,NULL,NULL,NULL,.1538462,n/a**,.1538462,NULL,NULL,NULL,NULL,NULL,NULL,.7949499,.4634146,.7998909,.0310636,71316,141655,70430
Decatur County,19053,19053,IA,Iowa,.1359223,NULL,.1359223,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.7649599,.8055556,.763073,.0706116,54239,26828,55450
Delaware County,19055,19055,IA,Iowa,.1328125,NULL,.1328125,NULL,NULL,NULL,.1764706,n/a**,.1764706,NULL,NULL,NULL,NULL,NULL,NULL,.8340936,.9013605,.8323805,.0324487,76802,56719,77280
Des Moines County,19057,19057,IA,Iowa,.1394231,NULL,.1394231,14508,NULL,14508,.1149425,n/a**,.1149425,NULL,NULL,NULL,155,NULL,155,.7951067,.874299,.7884259,.122702,65310,37188,67929
Dickinson County,19059,19059,IA,Iowa,.1952862,NULL,.1952862,18812,NULL,18812,.1034483,n/a**,.1034483,NULL,NULL,NULL,NULL,NULL,NULL,.6866025,.5819209,.6896104,.0411585,80201,71439,80413
Dubuque County,19061,19061,IA,Iowa,.2085077,NULL,.2091228,14891,NULL,14821,.0802676,n/a**,.0805369,NULL,NULL,NULL,144,NULL,142,.691964,.6269914,.696647,.0939146,75860,48649,77748
Emmet County,19063,19063,IA,Iowa,.2108843,NULL,.2108843,NULL,NULL,NULL,.0967742,n/a**,.0967742,NULL,NULL,NULL,NULL,NULL,NULL,.7981439,.9381899,.7875915,.1243849,71272,71515,71255
Fayette County,19065,19065,IA,Iowa,.1360294,NULL,.1360294,NULL,NULL,NULL,.0810811,n/a**,.0810811,NULL,NULL,NULL,NULL,NULL,NULL,.80188,.7860963,.8025473,.0608159,65804,46947,66487
Floyd County,19067,19067,IA,Iowa,.2073171,NULL,.2073171,11637,NULL,11637,.1764706,n/a**,.1764706,NULL,NULL,NULL,NULL,NULL,NULL,.8005331,.7088847,.8052174,.0797705,64869,32695,66610
Franklin County,19069,19069,IA,Iowa,.2,NULL,.2016129,NULL,NULL,NULL,.08,n/a**,.08,NULL,NULL,NULL,NULL,NULL,NULL,.8227457,1,.8035742,.1462177,67229,37589,70892
Fremont County,19071,19071,IA,Iowa,.2156863,NULL,.2178218,NULL,NULL,NULL,.2272727,n/a**,.2272727,NULL,NULL,NULL,NULL,NULL,NULL,.8074995,.944186,.8013412,.0500861,68855,69802,68808
Greene County,19073,19073,IA,Iowa,.0774194,NULL,.0779221,NULL,NULL,NULL,.0833333,n/a**,.0833333,NULL,NULL,NULL,NULL,NULL,NULL,.7987592,.8026906,.7986146,.0512052,65926,47319,66509
Grundy County,19075,19075,IA,Iowa,.1904762,NULL,.1904762,NULL,NULL,NULL,0,n/a**,0,NULL,NULL,NULL,NULL,NULL,NULL,.7197356,.5,.7245793,.0295762,84440,79139,84507
Guthrie County,19077,19077,IA,Iowa,.1843575,NULL,.1843575,NULL,NULL,NULL,.0909091,n/a**,.0909091,NULL,NULL,NULL,NULL,NULL,NULL,.8024724,.8007663,.8025337,.047967,68626,70968,68567
Hamilton County,19079,19079,IA,Iowa,.161157,NULL,.161157,NULL,NULL,NULL,.0769231,n/a**,.0769231,NULL,NULL,NULL,NULL,NULL,NULL,.757461,.8041775,.7538053,.1068829,67417,51952,68632
Hancock County,19081,19081,IA,Iowa,.147929,NULL,.147929,NULL,NULL,NULL,.04,n/a**,.04,NULL,NULL,NULL,NULL,NULL,NULL,.7690319,.9361111,.7608784,.0651176,68465,51478,69280
Hardin County,19083,19083,IA,Iowa,.1301115,NULL,.130597,NULL,NULL,NULL,.0857143,n/a**,.0857143,NULL,NULL,NULL,NULL,NULL,NULL,.8023745,.910061,.7962172,.0795819,66148,63798,66237
Harrison County,19085,19085,IA,Iowa,.1623932,NULL,.1623932,NULL,NULL,NULL,.0789474,n/a**,.0789474,NULL,NULL,NULL,NULL,NULL,NULL,.8118622,.6937269,.8151881,.0364138,70457,58796,70710
Henry County,19087,19087,IA,Iowa,.1291391,NULL,.1295681,NULL,NULL,NULL,.025641,n/a**,.025641,NULL,NULL,NULL,NULL,NULL,NULL,.7993419,.8417323,.795002,.1174847,67488,59001,68310
